Date,Close/Last,Volume,Open,High,Low
12/31/2021,$22.004,94685,$22.00,$22.10,$21.99
12/30/2021,$22.00,62369,$22.13,$22.176,$22.00
12/29/2021,$22.05,149565,$22.17,$22.18,$21.95
12/28/2021,$21.85,115941,$21.82,$21.85,$21.41
12/27/2021,$21.7901,116982,$21.42,$21.85,$21.40
12/23/2021,$21.76,69674,$21.8899,$21.8899,$21.68
12/22/2021,$21.83,74822,$21.86,$21.86,$21.69
12/21/2021,$21.55,122048,$21.55,$21.65,$21.51
12/20/2021,$21.25,184992,$21.15,$21.25,$21.09
12/17/2021,$21.19,180088,$21.26,$21.38,$21.18
12/16/2021,$21.20,131809,$21.15,$21.24,$21.09
12/15/2021,$21.135,113566,$21.11,$21.165,$20.97
12/14/2021,$21.21,141533,$21.15,$21.22,$21.10
12/13/2021,$21.14,87159,$21.19,$21.27,$21.10
12/10/2021,$21.30,74912,$21.22,$21.35,$21.13
12/09/2021,$21.10,365671,$21.29,$21.29,$21.06
12/08/2021,$21.30,254073,$21.28,$21.34,$21.235
12/07/2021,$21.27,842873,$21.21,$21.28,$21.1804
12/06/2021,$21.07,469138,$20.83,$21.19,$20.83
12/03/2021,$20.9205,101186,$20.93,$21.025,$20.81
12/02/2021,$20.9299,119036,$20.88,$20.99,$20.86
12/01/2021,$20.78,120111,$21.12,$21.17,$20.78
11/30/2021,$20.75,181026,$21.08,$21.14,$20.66
11/29/2021,$21.235,147028,$21.16,$21.30,$21.0501
11/26/2021,$21.055,93392,$20.93,$21.12,$20.90
11/24/2021,$21.33,91026,$21.50,$21.50,$21.1701
11/23/2021,$22.10,156660,$22.15,$22.22,$21.97
11/22/2021,$21.89,200457,$21.73,$22.03,$21.71
11/19/2021,$21.645,110539,$21.66,$21.75,$21.62
11/18/2021,$21.60,89383,$21.67,$21.68,$21.4401
11/17/2021,$21.43,147479,$21.35,$21.44,$21.271
11/16/2021,$21.36,154989,$21.37,$21.55,$21.36
11/15/2021,$21.7525,108867,$21.54,$21.785,$21.51
11/12/2021,$21.30,74522,$21.24,$21.39,$21.23
11/11/2021,$20.94,129614,$21.10,$21.10,$20.91
11/10/2021,$21.01,62547,$21.14,$21.23,$21.00
11/09/2021,$21.02,157612,$21.15,$21.23,$20.91
11/08/2021,$21.365,149020,$21.44,$21.44,$21.32
11/05/2021,$21.44,57352,$21.42,$21.49,$21.35
11/04/2021,$21.44,93055,$21.43,$21.86,$21.38
11/03/2021,$21.59,77123,$21.45,$21.59,$21.38
11/02/2021,$21.43,70045,$21.52,$21.6099,$21.35
11/01/2021,$21.49,115005,$21.435,$21.60,$21.40
10/29/2021,$21.44,75017,$21.60,$21.60,$21.35
10/28/2021,$21.74,51160,$21.86,$21.86,$21.69
10/27/2021,$21.96,61585,$22.0225,$22.0899,$21.894
10/26/2021,$22.04,77024,$22.20,$22.20,$21.96
10/25/2021,$21.83,64931,$21.99,$21.99,$21.79
10/22/2021,$22.11,39585,$22.02,$22.18,$21.91
10/21/2021,$22.045,41950,$22.10,$22.19,$21.9995
10/20/2021,$22.14,83564,$22.03,$22.18,$22.01
10/19/2021,$21.87,92858,$21.934,$21.99,$21.81
10/18/2021,$21.77,113051,$21.71,$21.79,$21.63
10/15/2021,$22.01,219949,$21.83,$22.03,$21.81
10/14/2021,$21.68,81340,$21.84,$21.84,$21.59
10/13/2021,$21.505,81592,$21.38,$21.55,$21.36
10/12/2021,$21.18,114653,$21.15,$21.26,$21.04
10/11/2021,$20.9899,167233,$21.13,$21.22,$20.9899
10/08/2021,$21.02,67919,$20.89,$21.11,$20.89
10/07/2021,$20.72,111224,$20.79,$20.89,$20.72
10/06/2021,$20.80,180489,$20.62,$20.80,$20.52
10/05/2021,$21.50,64467,$21.5494,$21.56,$21.3975
10/04/2021,$21.53,79010,$21.26,$21.60,$21.26
10/01/2021,$21.11,308744,$21.20,$21.24,$20.85
09/30/2021,$21.28,353508,$21.51,$21.56,$21.21
09/29/2021,$21.31,64441,$21.17,$21.35,$21.07
09/28/2021,$21.32,56890,$21.35,$21.40,$21.20
09/27/2021,$21.37,117292,$21.34,$21.48,$21.33
09/24/2021,$21.44,73175,$21.495,$21.5725,$21.38
09/23/2021,$21.595,59215,$21.52,$21.64,$21.52
09/22/2021,$21.47,109757,$21.32,$21.66,$21.3104
09/21/2021,$21.32,86738,$21.21,$21.39,$21.205
09/20/2021,$21.13,238921,$21.09,$21.20,$20.95
09/17/2021,$21.42,942825,$21.602,$21.63,$21.36
09/16/2021,$21.83,1339706,$21.79,$21.89,$21.68
09/15/2021,$21.8899,501746,$21.86,$21.91,$21.78
09/14/2021,$21.42,117616,$21.66,$21.66,$21.35
09/13/2021,$21.58,76611,$21.73,$21.79,$21.54
09/10/2021,$21.525,44819,$21.50,$21.73,$21.50
09/09/2021,$21.50,157730,$21.47,$21.57,$21.415
09/08/2021,$21.77,139039,$21.65,$21.79,$21.55
09/07/2021,$21.71,234044,$21.71,$21.76,$21.665
