Date,Close/Last,Volume,Open,High,Low
12/31/2021,$29.411,266529900,$29.674,$30.03,$29.3306
12/30/2021,$29.586,308864200,$29.827,$30.457,$29.54
12/29/2021,$30.001,343139300,$30.2725,$30.548,$29.366
12/28/2021,$30.322,420591200,$31.312,$31.33,$30.0118
12/27/2021,$30.945,403685900,$29.66,$31.0865,$29.64
12/23/2021,$29.64,343021700,$29.755,$30.059,$29.431
12/22/2021,$29.40,395184400,$28.891,$29.555,$28.449
12/21/2021,$29.075,524384900,$28.374,$29.12,$27.401
12/20/2021,$27.719,461846800,$27.305,$28.144,$27.145
12/17/2021,$27.801,716622400,$27.985,$28.922,$27.76
12/16/2021,$28.387,707366000,$31.152,$31.16,$28.093
12/15/2021,$30.459,698296900,$28.40,$30.50,$27.838
12/14/2021,$28.337,667035400,$27.699,$28.678,$27.25
12/13/2021,$28.161,598343700,$30.249,$30.294,$28.116
12/10/2021,$30.198,488825100,$31.15,$31.305,$29.861
12/09/2021,$30.49,488507200,$31.734,$32.205,$30.428
12/08/2021,$31.826,475551500,$31.999,$32.29,$31.421
12/07/2021,$32.427,593053500,$30.957,$32.449,$30.651
12/06/2021,$30.037,658938500,$29.88,$30.241,$28.038
12/03/2021,$30.693,544325100,$32.00,$32.129,$30.13
12/02/2021,$32.126,472890300,$31.214,$32.478,$31.025
12/01/2021,$31.435,485802000,$33.2195,$33.2893,$31.38
11/30/2021,$32.676,622066500,$33.169,$33.353,$31.864
11/29/2021,$33.376,454964000,$32.366,$33.412,$32.036
11/26/2021,$31.503,283068900,$32.60,$32.71,$31.35
11/24/2021,$32.674,435162300,$31.461,$32.855,$30.928
11/23/2021,$31.746,532162700,$31.535,$32.36,$30.88
11/22/2021,$31.956,754335200,$33.517,$34.647,$31.90
11/19/2021,$32.985,533866700,$32.243,$33.088,$31.905
11/18/2021,$31.675,781710800,$32.367,$32.76,$31.321
11/17/2021,$29.261,428508000,$30.418,$30.509,$28.80
11/16/2021,$30.203,264483700,$29.759,$30.39,$29.7059
11/15/2021,$30.025,384909000,$30.552,$30.644,$29.247
11/12/2021,$30.39,413054300,$30.01,$30.68,$29.63
11/11/2021,$30.39,332172100,$30.468,$30.59,$29.777
11/10/2021,$29.459,636205700,$29.356,$30.85,$28.778
11/09/2021,$30.657,646746200,$32.282,$32.31,$29.964
11/08/2021,$30.804,503100900,$30.149,$31.10,$29.907
11/05/2021,$29.752,851260200,$30.187,$31.40,$29.41
11/04/2021,$29.801,1153631000,$27.229,$31.365,$27.118
11/03/2021,$26.598,239910300,$26.67,$26.784,$26.235
11/02/2021,$26.401,294112400,$25.822,$26.678,$25.80
11/01/2021,$25.827,265739800,$25.649,$25.894,$25.227
10/29/2021,$25.567,292502800,$25.0005,$25.709,$25.00
10/28/2021,$24.941,234204300,$24.878,$24.95,$24.523
10/27/2021,$24.451,245989900,$24.474,$25.09,$24.282
10/26/2021,$24.717,485898300,$23.989,$25.259,$23.924
10/25/2021,$23.166,230234800,$22.973,$23.355,$22.77
10/22/2021,$22.726,249383800,$22.823,$23.13,$22.561
10/21/2021,$22.692,187590300,$22.097,$22.711,$22.083
10/20/2021,$22.103,146275900,$22.3045,$22.433,$21.982
10/19/2021,$22.29,161473300,$22.276,$22.379,$22.037
10/18/2021,$22.222,189493600,$21.749,$22.291,$21.644
10/15/2021,$21.862,226994000,$21.81,$21.931,$21.662
10/14/2021,$21.746,243588800,$21.288,$21.755,$21.122
10/13/2021,$20.939,180651900,$20.918,$20.99,$20.713
10/12/2021,$20.671,162133500,$20.8275,$21.057,$20.528
10/11/2021,$20.695,163387500,$20.575,$21.063,$20.511
10/08/2021,$20.831,151257900,$21.101,$21.206,$20.775
10/07/2021,$21.075,256918900,$21.092,$21.322,$20.972
10/06/2021,$20.70,297201800,$20.12,$20.72,$20.08
10/05/2021,$20.451,279281700,$19.95,$20.648,$19.854
10/04/2021,$19.732,345635000,$20.504,$20.5418,$19.555
10/01/2021,$20.742,240978000,$20.75,$20.859,$20.203
09/30/2021,$20.716,221009100,$20.7684,$21.066,$20.688
09/29/2021,$20.517,218393600,$20.9395,$21.017,$20.467
09/28/2021,$20.699,343069000,$21.2135,$21.419,$20.651
09/27/2021,$21.66,245215100,$21.7104,$21.799,$21.325
09/24/2021,$22.081,217655500,$22.07,$22.149,$21.861
09/23/2021,$22.482,248554900,$22.14,$22.5345,$21.89
09/22/2021,$21.941,268725600,$21.3655,$21.96,$21.196
09/21/2021,$21.246,204688100,$21.4165,$21.425,$20.95
09/20/2021,$21.113,349440500,$21.146,$21.433,$20.662
09/17/2021,$21.90,294502800,$22.30,$22.321,$21.83
09/16/2021,$22.242,156033400,$22.1835,$22.277,$21.927
09/15/2021,$22.341,166538000,$22.309,$22.367,$21.966
09/14/2021,$22.242,199754600,$22.275,$22.41,$22.086
09/13/2021,$22.152,297499900,$22.684,$22.964,$21.858
09/10/2021,$22.478,248375700,$22.3483,$22.626,$22.27
09/09/2021,$22.177,196856000,$22.312,$22.538,$22.131
09/08/2021,$22.339,254434200,$22.513,$22.61,$21.977
09/07/2021,$22.662,198107200,$22.833,$22.899,$22.5224
09/03/2021,$22.843,280832000,$22.325,$22.986,$22.20
09/02/2021,$22.396,188109600,$22.518,$22.593,$22.2945
09/01/2021,$22.441,201767000,$22.485,$22.697,$22.3565
08/31/2021,$22.385,259849700,$22.695,$22.695,$22.12
08/30/2021,$22.688,262579900,$22.83,$23.043,$22.551
08/27/2021,$22.636,304722200,$22.184,$22.722,$22.167
08/26/2021,$22.068,237940400,$22.20,$22.34,$21.79
08/25/2021,$22.213,347701000,$21.737,$22.47,$21.722
08/24/2021,$21.793,297298900,$21.753,$21.959,$21.535
08/23/2021,$21.958,575806600,$20.971,$21.997,$20.95
08/20/2021,$20.816,675741300,$19.991,$20.8651,$19.933
08/19/2021,$19.798,766554800,$19.494,$20.495,$18.762
08/18/2021,$19.04,285913500,$19.50,$19.6337,$19.00
08/17/2021,$19.458,204584900,$19.685,$19.77,$19.267
08/16/2021,$19.95,211152800,$20.135,$20.287,$19.453
08/13/2021,$20.188,183062900,$19.905,$20.2138,$19.851
08/12/2021,$19.905,151861600,$19.87,$20.029,$19.62
08/11/2021,$19.699,185924800,$20.043,$20.049,$19.43
08/10/2021,$19.936,179237800,$20.322,$20.43,$19.8345
08/09/2021,$20.295,146443100,$20.446,$20.508,$20.143
08/06/2021,$20.366,178496600,$20.524,$20.57,$20.21
08/05/2021,$20.637,211435400,$20.50,$20.733,$20.342
08/04/2021,$20.274,231309400,$19.99,$20.318,$19.828
08/03/2021,$19.815,301810700,$19.74,$20.222,$19.22
08/02/2021,$19.75,217444000,$19.70,$19.961,$19.361
07/30/2021,$19.499,183497500,$19.418,$19.63,$19.263
07/29/2021,$19.662,190780900,$19.519,$19.853,$19.328
07/28/2021,$19.503,202191200,$19.3192,$19.646,$18.995
07/27/2021,$19.208,248862600,$19.265,$19.622,$18.741
07/26/2021,$19.294,203943200,$19.311,$19.442,$18.914
07/23/2021,$19.558,195672000,$19.6564,$19.70,$19.25
07/22/2021,$19.594,323826000,$19.642,$19.887,$19.276
07/21/2021,$19.41,371017400,$18.882,$19.527,$18.742
07/20/2021,$18.612,434686500,$18.73,$18.838,$18.164
07/19/2021,$18.7798,749058800,$17.9153,$19.042,$17.8655
07/16/2021,$18.161,688222800,$19.0305,$19.1571,$18.073
07/15/2021,$18.9662,550564400,$19.8118,$19.847,$18.8585
07/14/2021,$19.8415,380099200,$20.3577,$20.4178,$19.7528
07/13/2021,$20.25,290706320,$20.4005,$20.4613,$20.114
07/12/2021,$20.5125,321984760,$20.24,$20.5328,$20.1878
07/09/2021,$20.0503,296622680,$19.9625,$20.0801,$19.7542
07/08/2021,$19.9028,503299600,$19.8565,$20.133,$19.7007
07/07/2021,$20.3718,418427200,$20.8535,$20.875,$20.3321
07/06/2021,$20.6985,446707600,$20.7375,$20.842,$20.3503
07/02/2021,$20.487,343396680,$20.4401,$20.5053,$20.2878
07/01/2021,$20.212,480134800,$20.125,$20.456,$20.019
06/30/2021,$20.0025,326566160,$19.9991,$20.1625,$19.8638
06/29/2021,$20.0268,367633840,$19.8825,$20.0988,$19.6569
06/28/2021,$19.985,495436400,$19.3613,$20.0787,$19.319
06/25/2021,$19.031,278365920,$19.2805,$19.3455,$18.8944
06/24/2021,$19.2055,320922400,$19.2278,$19.42,$19.0882
06/23/2021,$19.0573,332357040,$19.0077,$19.1528,$18.9078
06/22/2021,$18.8868,580145600,$18.4715,$18.9638,$18.3859
06/21/2021,$18.4273,672382000,$18.4353,$18.5365,$17.8226
06/18/2021,$18.6387,968854400,$18.784,$19.375,$18.584
06/17/2021,$18.6573,809654800,$17.7746,$18.835,$17.7563
06/16/2021,$17.8103,307122600,$17.7907,$17.9547,$17.5844
06/15/2021,$17.7885,243030440,$17.915,$18.0162,$17.728
06/14/2021,$18.0188,321374280,$17.906,$18.0395,$17.6628
06/11/2021,$17.8253,416307600,$17.4795,$17.9392,$17.4438
06/10/2021,$17.425,287770440,$17.35,$17.492,$17.176
06/09/2021,$17.3583,381657480,$17.5158,$17.575,$17.2558
06/08/2021,$17.457,323846760,$17.5273,$17.6216,$17.251
06/07/2021,$17.619,575754800,$17.5711,$17.8125,$17.1928
06/04/2021,$17.5783,617120400,$17.1125,$17.661,$17.0955
06/03/2021,$16.9698,580006800,$16.7007,$17.259,$16.583
06/02/2021,$16.7783,594167600,$16.2523,$16.9189,$16.2355
06/01/2021,$16.2645,472803200,$16.27,$16.3881,$15.9033
05/28/2021,$16.2445,644535600,$15.501,$16.2775,$15.501
05/27/2021,$15.488,581475200,$15.6998,$15.75,$15.46
05/26/2021,$15.70,370438640,$15.7343,$15.7938,$15.5863
05/25/2021,$15.6478,435406800,$15.766,$15.8185,$15.4825
05/24/2021,$15.612,554816400,$15.2125,$15.745,$15.176
05/21/2021,$14.9918,672992000,$15.1638,$15.222,$14.8694
05/20/2021,$14.6125,321591920,$14.3025,$14.6838,$14.2705
05/19/2021,$14.0658,343999360,$13.5665,$14.0795,$13.5433
05/18/2021,$14.0158,186254240,$14.267,$14.4042,$14.004
05/17/2021,$14.1655,216488840,$14.157,$14.1693,$13.8535
05/14/2021,$14.243,258615000,$13.89,$14.3281,$13.7485
05/13/2021,$13.6653,285727480,$14.0338,$14.0808,$13.459
05/12/2021,$13.7585,303409320,$14.0095,$14.2602,$13.7093
05/11/2021,$14.3063,285585360,$13.825,$14.3548,$13.75
05/10/2021,$14.2658,268903800,$14.7873,$14.806,$14.25
05/07/2021,$14.8123,229327320,$14.8083,$14.9708,$14.6717
05/06/2021,$14.523,193380920,$14.4952,$14.5713,$14.2181
05/05/2021,$14.4585,292023040,$14.709,$14.8135,$14.3875
05/04/2021,$14.3513,405324800,$14.6373,$14.6375,$14.0103
05/03/2021,$14.8368,203911840,$15.125,$15.2468,$14.7875
04/30/2021,$15.0095,201910080,$15.1745,$15.365,$14.997
04/29/2021,$15.3248,173196480,$15.40,$15.4365,$15.0715
