Date,Close/Last,Volume,Open,High,Low
12/31/2021,$602.44,1995918,$610.01,$614.075,$602.05
12/30/2021,$612.09,1625093,$612.99,$620.61,$611.2401
12/29/2021,$610.54,1287513,$610.71,$613.98,$604.68
12/28/2021,$610.71,1884116,$614.95,$618.41,$609.69
12/27/2021,$613.12,2062233,$615.00,$615.00,$609.25
12/23/2021,$614.09,1621146,$616.40,$616.88,$607.57
12/22/2021,$614.24,2335745,$603.36,$614.82,$602.63
12/21/2021,$604.92,2319390,$597.5434,$607.82,$593.8611
12/20/2021,$593.74,3358404,$586.43,$602.8847,$584.26
12/17/2021,$586.73,4433706,$591.61,$593.25,$581.74
12/16/2021,$591.06,3143217,$597.09,$602.8308,$588.00
12/15/2021,$605.04,2866196,$598.18,$605.69,$584.51
12/14/2021,$597.99,2984536,$598.71,$602.29,$588.13
12/13/2021,$604.56,2517915,$612.00,$612.64,$599.52
12/10/2021,$611.66,2748774,$616.78,$617.74,$605.88
12/09/2021,$611.00,2376321,$627.58,$630.24,$610.44
12/08/2021,$628.08,2220308,$630.00,$632.455,$623.20
12/07/2021,$625.58,3125190,$619.83,$628.89,$611.40
12/06/2021,$612.69,3075672,$606.01,$617.29,$601.00
12/03/2021,$602.13,4829282,$622.75,$625.50,$594.00
12/02/2021,$616.47,3331131,$617.10,$625.36,$612.88
12/01/2021,$617.77,3897019,$649.48,$654.52,$617.07
11/30/2021,$641.90,5608919,$668.198,$675.38,$640.01
11/29/2021,$663.84,2529364,$663.20,$667.99,$658.29
11/26/2021,$665.64,2872513,$675.00,$676.405,$660.67
11/24/2021,$658.29,1867282,$658.01,$661.44,$651.10
11/23/2021,$654.06,2320917,$658.18,$666.43,$646.05
11/22/2021,$659.20,2765318,$676.02,$679.48,$656.47
11/19/2021,$678.80,2614852,$692.35,$694.16,$675.00
11/18/2021,$682.02,2014992,$691.61,$691.74,$679.735
11/17/2021,$691.69,2732831,$690.00,$700.9894,$686.09
11/16/2021,$687.40,2077387,$678.27,$688.3599,$676.90
11/15/2021,$679.33,2872186,$681.235,$685.2599,$671.49
11/12/2021,$682.61,4198410,$660.01,$683.34,$653.82
11/11/2021,$657.58,2868311,$650.24,$665.82,$649.705
11/10/2021,$646.91,2405785,$653.01,$660.3306,$642.11
11/09/2021,$655.99,2415630,$653.70,$660.50,$650.52
11/08/2021,$651.45,2887523,$650.29,$656.00,$643.79
11/05/2021,$645.72,5283488,$663.97,$665.64,$645.01
11/04/2021,$668.40,4865023,$685.89,$685.94,$665.50
