Date,Close/Last,Volume,Open,High,Low
12/31/2021,$188.58,7360352,$191.45,$192.23,$188.40
12/30/2021,$191.88,9634832,$189.61,$193.95,$188.91
12/29/2021,$189.97,7038696,$190.03,$191.27,$187.83
12/28/2021,$190.10,7974873,$192.19,$194.00,$189.11
12/27/2021,$192.01,8357284,$192.39,$193.92,$191.08
12/23/2021,$192.01,7762002,$192.47,$192.9561,$190.25
12/22/2021,$191.68,9541564,$189.16,$191.77,$188.039
12/21/2021,$189.14,12515480,$183.18,$189.29,$183.08
12/20/2021,$182.68,10906780,$182.53,$184.4061,$181.67
12/17/2021,$186.20,18899850,$187.005,$187.84,$181.99
12/16/2021,$188.75,12326080,$194.166,$195.24,$188.251
12/15/2021,$190.66,11278510,$185.12,$191.10,$183.67
12/14/2021,$186.80,11414170,$183.74,$189.1434,$182.78
12/13/2021,$186.38,11812190,$187.50,$190.20,$185.30
12/10/2021,$188.51,11908150,$192.94,$194.15,$186.80
12/09/2021,$191.75,11550680,$196.06,$196.42,$191.44
12/08/2021,$197.35,14433210,$191.95,$197.69,$190.09
12/07/2021,$191.02,17772720,$188.67,$192.828,$188.43
12/06/2021,$184.86,13303430,$183.41,$186.07,$179.20
12/03/2021,$183.93,20737540,$187.73,$187.80,$179.29
12/02/2021,$187.15,20422680,$180.105,$188.80,$179.73
12/01/2021,$179.32,19542920,$187.77,$190.35,$179.15
11/30/2021,$184.89,21144290,$186.47,$188.825,$180.50
11/29/2021,$187.24,16308220,$188.92,$189.90,$182.43
11/26/2021,$187.79,11080420,$188.38,$193.00,$186.83
11/24/2021,$188.71,13359140,$187.00,$189.64,$184.74
11/23/2021,$188.05,20004540,$189.155,$190.79,$185.20
11/22/2021,$189.48,29956600,$193.62,$193.90,$184.275
11/19/2021,$193.61,24607530,$202.19,$202.50,$193.0701
11/18/2021,$200.50,19980110,$206.99,$207.50,$199.20
11/17/2021,$206.27,23095570,$211.145,$213.97,$203.35
11/16/2021,$215.67,16697520,$214.89,$215.97,$211.77
11/15/2021,$212.54,17433100,$212.22,$214.2091,$210.71
11/12/2021,$208.30,20954570,$203.25,$210.02,$201.4835
11/11/2021,$202.03,17712090,$207.92,$208.31,$201.56
11/10/2021,$204.64,23585950,$204.10,$208.20,$202.78
11/09/2021,$205.42,63995080,$212.40,$212.40,$200.68
11/08/2021,$229.42,23213880,$227.96,$230.97,$226.25
11/05/2021,$225.78,16665650,$230.00,$230.42,$224.60
11/04/2021,$228.22,14158860,$231.61,$231.92,$225.00
11/03/2021,$230.38,14177950,$228.33,$230.90,$225.3101
11/02/2021,$229.46,12676710,$232.54,$232.761,$227.80
11/01/2021,$231.28,14054940,$232.70,$233.55,$230.19
10/29/2021,$232.59,13010820,$235.43,$238.90,$231.71
10/28/2021,$236.83,14288270,$237.00,$237.94,$232.78
10/27/2021,$234.94,19043910,$243.85,$244.6899,$233.92
10/26/2021,$243.00,14404290,$249.45,$249.88,$241.01
10/25/2021,$246.88,23046730,$254.955,$255.52,$245.82
