Date,Close/Last,Volume,Open,High,Low
12/31/2021,$173.71,2914941,$172.46,$174.015,$172.11
12/30/2021,$172.67,1988984,$173.54,$173.62,$172.23
12/29/2021,$172.97,2299691,$172.79,$173.46,$171.93
12/28/2021,$172.36,2333095,$171.46,$172.79,$171.20
12/27/2021,$171.47,2868961,$169.985,$171.56,$169.765
12/23/2021,$169.78,3241793,$169.978,$170.63,$169.25
12/22/2021,$169.97,4362937,$168.96,$169.99,$168.27
12/21/2021,$168.92,3401433,$169.23,$169.6025,$167.775
12/20/2021,$169.42,5263606,$167.158,$169.50,$166.75
12/17/2021,$168.30,10181240,$171.11,$172.38,$168.05
12/16/2021,$171.82,6909923,$171.57,$173.56,$171.02
12/15/2021,$171.57,5507820,$169.77,$171.78,$169.46
12/14/2021,$169.39,4984951,$169.35,$170.39,$168.30
12/13/2021,$169.81,5411817,$168.93,$171.255,$168.05
12/10/2021,$168.97,5025801,$167.54,$169.12,$166.90
12/09/2021,$166.31,3644496,$165.92,$166.88,$164.85
12/08/2021,$166.52,3891904,$166.14,$166.69,$164.03
12/07/2021,$166.23,5460142,$166.42,$166.96,$165.66
12/06/2021,$166.42,5403075,$166.05,$167.29,$165.79
12/03/2021,$164.71,6465861,$161.47,$164.88,$161.34
12/02/2021,$160.62,4619832,$160.132,$161.69,$159.83
12/01/2021,$160.16,5385896,$162.47,$163.25,$160.05
11/30/2021,$159.78,7610010,$163.83,$164.00,$158.39
11/29/2021,$164.14,5305787,$162.67,$164.58,$161.14
11/26/2021,$161.14,3402882,$162.71,$163.66,$160.89
11/24/2021,$163.74,3309539,$165.088,$165.50,$162.58
11/23/2021,$165.25,3878130,$163.56,$165.72,$163.3079
11/22/2021,$164.15,4157558,$163.203,$166.80,$163.18
11/19/2021,$163.81,5247738,$164.50,$165.0269,$163.44
11/18/2021,$163.42,3498885,$162.81,$163.52,$161.7501
11/17/2021,$163.37,3332233,$162.62,$163.671,$162.08
11/16/2021,$163.31,2899366,$164.27,$164.99,$163.23
11/15/2021,$163.80,3357116,$162.51,$163.88,$162.49
11/12/2021,$162.65,3540986,$163.01,$163.93,$162.08
11/11/2021,$162.69,2453158,$163.97,$163.98,$162.55
11/10/2021,$164.04,2683478,$164.74,$165.00,$163.025
11/09/2021,$163.51,3778818,$162.31,$163.86,$162.00
11/08/2021,$162.43,5766611,$165.81,$166.10,$161.1546
11/05/2021,$166.00,3754297,$165.55,$166.43,$164.52
11/04/2021,$164.31,3310257,$164.22,$164.56,$163.35
11/03/2021,$164.30,3595043,$162.15,$164.39,$162.15
11/02/2021,$162.74,3464557,$161.55,$162.81,$160.94
11/01/2021,$161.26,3017085,$161.20,$161.50,$160.18
10/29/2021,$161.60,4558172,$161.03,$162.26,$160.905
10/28/2021,$161.62,3589576,$160.85,$161.73,$160.465
10/27/2021,$160.61,3751840,$161.75,$161.84,$159.56
10/26/2021,$161.17,3684748,$159.17,$161.40,$159.10
10/25/2021,$159.22,3281194,$159.95,$159.95,$158.79
10/22/2021,$159.97,3240314,$159.58,$160.47,$159.47
10/21/2021,$159.18,4164717,$161.39,$161.43,$158.98
10/20/2021,$161.31,3716590,$160.58,$161.88,$159.68
10/19/2021,$160.10,3125832,$158.64,$160.16,$157.54
10/18/2021,$158.09,3274249,$158.202,$158.70,$156.80
10/15/2021,$158.81,4312982,$159.66,$159.66,$157.51
10/14/2021,$159.26,3677272,$158.62,$159.49,$158.61
10/13/2021,$157.99,3601013,$157.46,$158.05,$156.02
10/12/2021,$156.93,3195707,$156.22,$157.85,$156.21
10/11/2021,$156.24,2738194,$156.39,$157.23,$155.66
