Date,Close/Last,Volume,Open,High,Low
12/31/2021,$90.58,338663,$90.75,$91.76,$90.05
12/30/2021,$91.33,377689,$90.68,$92.42,$90.68
12/29/2021,$90.86,285121,$91.30,$91.802,$90.56
12/28/2021,$91.32,412072,$91.80,$92.755,$91.20
12/27/2021,$91.98,666085,$90.81,$92.11,$89.71
12/23/2021,$90.97,602930,$90.07,$91.50,$88.95
12/22/2021,$89.31,972159,$86.31,$89.72,$85.64
12/21/2021,$86.19,816054,$82.35,$86.42,$82.18
12/20/2021,$81.42,1092763,$80.00,$81.82,$79.07
12/17/2021,$82.13,1331513,$80.85,$82.64,$79.08
12/16/2021,$81.10,773248,$84.41,$84.41,$80.49
12/15/2021,$83.70,1319503,$85.90,$85.96,$82.25
12/14/2021,$86.10,845450,$85.21,$86.46,$84.215
12/13/2021,$85.43,669933,$86.98,$87.38,$84.8386
12/10/2021,$87.91,787165,$88.40,$88.55,$86.04
12/09/2021,$87.82,439381,$88.35,$89.92,$87.295
12/08/2021,$89.13,736005,$86.73,$89.34,$86.397
12/07/2021,$86.09,746655,$86.00,$88.16,$85.7519
12/06/2021,$84.46,1201507,$81.75,$85.99,$80.25
12/03/2021,$80.60,860806,$82.41,$82.41,$79.27
12/02/2021,$82.14,1038521,$78.89,$82.77,$78.52
12/01/2021,$78.71,1099211,$83.41,$84.108,$78.70
11/30/2021,$81.69,1131302,$83.75,$84.42,$81.06
11/29/2021,$85.02,1083598,$86.51,$87.61,$84.96
11/26/2021,$84.50,1062022,$85.00,$85.50,$83.41
11/24/2021,$90.46,811486,$89.10,$90.92,$88.00
11/23/2021,$89.79,1041445,$89.58,$89.86,$87.89
11/22/2021,$88.99,984490,$91.01,$91.37,$87.92
11/19/2021,$90.04,1102820,$89.42,$90.995,$88.22
11/18/2021,$91.03,649564,$92.24,$92.5299,$89.39
11/17/2021,$91.80,709504,$91.41,$92.09,$90.71
11/16/2021,$92.00,812176,$92.53,$93.76,$91.50
11/15/2021,$92.27,1228406,$92.99,$93.64,$91.29
11/12/2021,$92.28,1152087,$90.68,$92.575,$90.0301
11/11/2021,$90.41,670886,$91.09,$91.63,$89.13
11/10/2021,$91.40,806317,$94.20,$95.235,$90.94
11/09/2021,$94.51,986162,$95.89,$96.87,$94.21
11/08/2021,$95.91,1116497,$96.38,$96.64,$95.36
11/05/2021,$95.73,2634086,$97.99,$99.60,$95.00
11/04/2021,$92.25,4232439,$91.27,$94.30,$87.50
11/03/2021,$82.61,1163701,$82.19,$83.76,$81.90
11/02/2021,$82.47,1051845,$83.00,$84.00,$81.75
11/01/2021,$82.88,718896,$80.10,$83.15,$79.90
10/29/2021,$79.55,468442,$78.36,$79.57,$78.36
10/28/2021,$79.12,457552,$79.74,$80.48,$79.04
10/27/2021,$79.76,442038,$80.37,$80.48,$78.56
10/26/2021,$80.08,423424,$79.57,$80.24,$79.05
10/25/2021,$79.00,446952,$79.59,$79.68,$78.43
10/22/2021,$79.00,556263,$79.25,$79.75,$78.50
10/21/2021,$79.45,657703,$77.00,$79.91,$77.00
10/20/2021,$77.10,1443840,$80.89,$80.89,$76.91
10/19/2021,$81.15,432423,$81.26,$81.63,$80.56
10/18/2021,$80.81,629007,$81.02,$81.02,$79.2137
10/15/2021,$81.03,421252,$83.14,$83.46,$80.79
10/14/2021,$82.13,578441,$80.02,$82.51,$79.98
10/13/2021,$79.32,490023,$80.09,$80.09,$78.43
10/12/2021,$80.25,389212,$79.44,$80.96,$79.3569
10/11/2021,$79.61,404407,$79.21,$80.90,$79.21
10/08/2021,$79.32,477593,$79.79,$79.99,$78.59
10/07/2021,$79.71,839449,$80.53,$81.22,$78.70
10/06/2021,$80.07,689612,$80.25,$81.43,$79.945
10/05/2021,$81.45,676791,$82.01,$83.77,$81.41
10/04/2021,$81.84,993822,$83.74,$83.90,$81.535
10/01/2021,$83.09,1429549,$80.08,$84.27,$79.53
09/30/2021,$78.55,671931,$78.43,$79.22,$78.00
09/29/2021,$78.57,613962,$80.23,$80.69,$78.11
09/28/2021,$79.75,639652,$80.17,$80.98,$79.54
09/27/2021,$80.49,559640,$81.60,$82.43,$80.21
09/24/2021,$81.48,523426,$79.24,$81.72,$78.56
09/23/2021,$79.47,960590,$79.00,$80.78,$78.97
09/22/2021,$78.61,775466,$76.45,$79.61,$76.33
09/21/2021,$76.28,881877,$78.26,$78.915,$76.175
09/20/2021,$77.29,658380,$76.90,$78.35,$75.94
09/17/2021,$78.41,1008783,$79.08,$79.7199,$77.955
09/16/2021,$78.77,578273,$78.28,$79.10,$77.66
09/15/2021,$78.34,704583,$78.61,$78.61,$77.03
09/14/2021,$78.85,486200,$78.47,$79.475,$77.36
09/13/2021,$78.22,799834,$77.80,$78.94,$76.86
09/10/2021,$77.33,473734,$78.99,$79.27,$77.27
09/09/2021,$78.69,798241,$76.83,$78.882,$76.56
09/08/2021,$77.00,609809,$77.96,$78.13,$76.62
09/07/2021,$77.62,861380,$76.49,$78.19,$75.99
09/03/2021,$76.48,769449,$78.00,$78.16,$76.15
09/02/2021,$78.50,810556,$79.77,$80.06,$78.40
09/01/2021,$79.84,758818,$81.60,$81.87,$79.78
08/31/2021,$81.30,813527,$81.33,$81.78,$79.79
08/30/2021,$81.57,1349390,$82.39,$82.77,$81.23
08/27/2021,$82.13,1175674,$80.27,$82.195,$79.84
08/26/2021,$80.00,1119991,$79.06,$80.11,$78.82
08/25/2021,$79.36,1417600,$77.81,$80.03,$76.93
08/24/2021,$77.51,1389502,$75.33,$78.00,$75.32
08/23/2021,$73.71,984388,$70.68,$73.75,$70.68
08/20/2021,$70.13,1134127,$68.98,$70.17,$67.89
08/19/2021,$68.99,1890284,$70.88,$71.12,$68.35
08/18/2021,$71.54,1634410,$73.46,$73.46,$71.275
08/17/2021,$73.04,1139904,$74.95,$75.08,$72.28
08/16/2021,$75.64,873029,$76.09,$76.09,$74.30
08/13/2021,$75.08,663015,$76.40,$76.40,$74.55
08/12/2021,$75.87,757959,$75.67,$75.925,$74.715
08/11/2021,$75.91,1119151,$74.90,$75.95,$73.88
08/10/2021,$75.09,1868418,$71.26,$75.48,$71.26
08/09/2021,$74.26,2188447,$75.48,$75.76,$72.69
08/06/2021,$75.59,849329,$76.45,$76.90,$75.16
08/05/2021,$76.03,1001332,$73.06,$76.385,$72.7201
08/04/2021,$72.70,1086344,$72.81,$73.68,$72.48
08/03/2021,$73.45,1841788,$77.09,$77.09,$71.22
08/02/2021,$74.37,790087,$75.80,$76.71,$74.09
07/30/2021,$75.23,939214,$75.06,$76.75,$74.92
07/29/2021,$75.94,728484,$76.70,$77.6145,$75.88
07/28/2021,$75.97,740436,$75.71,$76.57,$73.905
07/27/2021,$75.31,795875,$75.99,$76.69,$74.48
07/26/2021,$76.10,710771,$75.18,$76.275,$74.78
07/23/2021,$75.40,1015606,$74.48,$75.78,$74.20
07/22/2021,$73.82,885896,$72.64,$74.10,$71.54
07/21/2021,$72.98,1174587,$72.52,$74.13,$71.88
07/20/2021,$71.74,1523579,$69.61,$72.29,$68.17
07/19/2021,$69.41,2037679,$71.80,$71.85,$68.68
07/16/2021,$73.35,1294645,$74.25,$74.45,$72.90
07/15/2021,$73.56,1310443,$72.90,$74.08,$72.60
07/14/2021,$72.91,1445922,$73.28,$74.74,$72.89
07/13/2021,$73.44,1619829,$73.53,$73.626,$72.06
07/12/2021,$73.80,470264,$73.42,$74.20,$72.9386
07/09/2021,$73.86,756858,$73.31,$74.37,$72.50
07/08/2021,$72.41,1431162,$71.92,$73.13,$70.2799
07/07/2021,$72.91,1076459,$73.58,$74.55,$71.88
07/06/2021,$74.02,892247,$74.40,$74.60,$73.275
07/02/2021,$74.50,579275,$75.67,$75.79,$74.36
07/01/2021,$75.42,693217,$75.84,$76.68,$75.27
06/30/2021,$75.25,686215,$74.72,$75.35,$73.93
06/29/2021,$74.65,884308,$74.67,$75.12,$74.27
06/28/2021,$75.12,915702,$77.84,$77.8805,$74.86
06/25/2021,$78.12,888906,$76.87,$78.27,$76.12
06/24/2021,$76.87,603941,$78.55,$78.89,$76.14
06/23/2021,$77.89,669637,$76.81,$78.34,$76.55
06/22/2021,$77.07,731174,$76.21,$77.42,$75.51
06/21/2021,$76.12,921432,$75.00,$76.33,$74.21
06/18/2021,$74.37,1022526,$73.53,$74.99,$73.43
06/17/2021,$74.22,1330520,$72.85,$75.23,$72.24
06/16/2021,$73.02,1062048,$74.46,$74.55,$71.84
06/15/2021,$74.58,711122,$76.24,$76.24,$74.48
06/14/2021,$75.83,741382,$75.27,$76.06,$74.82
06/11/2021,$75.16,642856,$76.63,$76.99,$74.645
06/10/2021,$75.89,1140324,$76.32,$76.41,$74.61
06/09/2021,$76.20,756220,$76.95,$77.15,$76.05
06/08/2021,$76.73,658622,$75.22,$76.93,$74.9187
06/07/2021,$74.81,653749,$75.40,$75.81,$74.1608
06/04/2021,$75.40,948270,$75.93,$76.3372,$73.84
06/03/2021,$75.20,966159,$75.90,$75.90,$73.94
06/02/2021,$76.24,1043195,$77.51,$77.72,$75.86
06/01/2021,$77.63,989366,$78.35,$79.55,$77.58
05/28/2021,$78.77,445676,$79.65,$79.96,$78.35
05/27/2021,$79.67,633218,$80.43,$80.71,$79.2204
05/26/2021,$80.24,599093,$79.29,$80.65,$79.0476
05/25/2021,$79.00,777153,$78.89,$79.795,$78.12
05/24/2021,$78.46,757093,$78.16,$79.38,$77.60
05/21/2021,$77.53,489516,$78.29,$78.68,$77.37
05/20/2021,$77.57,980588,$76.60,$78.60,$76.11
05/19/2021,$76.71,812864,$77.43,$77.43,$75.67
05/18/2021,$78.61,1249993,$78.65,$80.90,$78.60
05/17/2021,$78.94,1105411,$78.01,$79.56,$77.6901
05/14/2021,$79.06,1080875,$77.16,$80.30,$77.07
05/13/2021,$76.55,1518489,$73.50,$77.28,$73.49
05/12/2021,$73.19,923662,$76.56,$77.42,$72.91
05/11/2021,$77.12,1095801,$76.50,$78.04,$76.01
05/10/2021,$78.23,1415266,$76.87,$79.2099,$75.58
05/07/2021,$77.14,2156812,$76.37,$79.63,$76.00
05/06/2021,$80.58,1549351,$81.34,$81.78,$79.45
05/05/2021,$81.39,560964,$82.00,$82.81,$81.30
05/04/2021,$81.61,1023323,$81.48,$81.71,$79.87
05/03/2021,$82.50,1320014,$84.54,$84.79,$82.42
04/30/2021,$83.99,852931,$83.72,$84.14,$82.62
04/29/2021,$83.93,512951,$85.02,$85.26,$83.05
04/28/2021,$84.47,568163,$84.99,$85.4802,$83.82
04/27/2021,$85.06,723579,$85.95,$87.04,$84.62
04/26/2021,$84.69,985967,$85.15,$85.21,$83.05
04/23/2021,$83.81,801810,$85.26,$85.40,$82.86
04/22/2021,$84.98,1032167,$83.37,$86.66,$83.37
04/21/2021,$86.59,595296,$84.18,$86.79,$84.10
04/20/2021,$84.06,827392,$86.65,$87.0404,$82.62
04/19/2021,$86.80,834688,$88.15,$89.179,$86.68
04/16/2021,$88.30,721910,$88.00,$88.54,$87.37
04/15/2021,$86.84,1222948,$85.32,$87.80,$85.27
04/14/2021,$85.24,1166921,$87.12,$87.55,$84.67
04/13/2021,$86.50,926901,$84.91,$86.92,$83.35
04/12/2021,$85.50,1240740,$85.52,$86.84,$84.795
04/09/2021,$85.74,1355634,$85.88,$86.10,$84.35
04/08/2021,$86.22,2947678,$80.91,$86.70,$80.36
04/07/2021,$81.48,888530,$82.89,$83.4799,$81.24
04/06/2021,$82.20,1135941,$79.05,$82.88,$79.05
04/05/2021,$79.76,903844,$80.14,$80.60,$79.33
04/01/2021,$78.52,924365,$78.03,$78.91,$77.47
03/31/2021,$77.30,899746,$76.38,$77.965,$75.905
03/30/2021,$75.66,1020763,$75.00,$76.80,$74.67
03/29/2021,$75.02,1241024,$77.31,$78.67,$74.55
03/26/2021,$77.62,984367,$75.98,$77.82,$75.04
03/25/2021,$75.79,1535887,$72.67,$76.20,$71.35
03/24/2021,$73.49,1847692,$76.25,$78.14,$72.74
03/23/2021,$75.45,843772,$77.55,$77.73,$75.11
03/22/2021,$77.99,925204,$78.24,$78.94,$77.29
03/19/2021,$78.35,1371295,$80.15,$80.495,$77.78
03/18/2021,$80.58,988506,$82.46,$83.78,$80.21
03/17/2021,$83.21,661221,$81.45,$83.56,$80.71
03/16/2021,$82.13,639364,$84.53,$84.53,$81.14
03/15/2021,$83.97,1651918,$81.01,$84.53,$80.365
03/12/2021,$80.04,1260222,$81.38,$82.66,$79.75
03/11/2021,$80.85,806364,$81.73,$83.08,$80.63
03/10/2021,$81.77,1135594,$81.70,$83.19,$80.48
03/09/2021,$81.85,1743159,$86.60,$87.52,$81.81
