Date,Close/Last,Volume,Open,High,Low
12/31/2021,$48.23,17947787,$47.7333,$48.3483,$47.64
12/30/2021,$47.7233,14948992,$47.7533,$47.8983,$47.4933
12/29/2021,$47.57,13045261,$47.5533,$47.8433,$47.44
12/28/2021,$47.5933,15789050,$46.8667,$47.6567,$46.8667
12/27/2021,$46.92,16053377,$46.5333,$46.9567,$46.5233
12/23/2021,$46.4967,17592650,$46.60,$46.72,$46.2833
12/22/2021,$46.60,17027852,$46.6333,$46.6633,$46.1767
12/21/2021,$46.54,24620438,$46.30,$46.62,$46.0033
12/20/2021,$46.40,31017873,$46.04,$46.5833,$45.8667
12/17/2021,$46.25,78711818,$47.5833,$47.9833,$46.13
12/16/2021,$47.78,39069484,$48.59,$48.842,$47.63
12/15/2021,$48.59,33489933,$48.4033,$48.8233,$47.80
12/14/2021,$48.3133,46721285,$47.7667,$48.4267,$47.3834
12/13/2021,$47.8567,54039365,$46.7467,$47.9166,$46.67
12/10/2021,$47.01,38575624,$46.1133,$47.10,$45.8567
12/09/2021,$46.1667,32351703,$45.5433,$46.19,$45.2367
12/08/2021,$45.7167,34496253,$46.02,$46.1667,$45.3367
12/07/2021,$46.1833,37739014,$46.5333,$46.61,$46.03
12/06/2021,$46.3333,32589393,$45.8533,$46.4533,$45.70
12/03/2021,$45.8367,44142604,$45.2867,$45.96,$45.0967
12/02/2021,$45.1567,39805684,$45.8767,$46.1467,$45.08
12/01/2021,$45.7133,36687124,$46.8367,$46.905,$45.68
11/30/2021,$46.8767,64819056,$47.16,$47.50,$46.67
11/29/2021,$47.5433,33039513,$48.3333,$48.4167,$47.41
11/26/2021,$48.30,21039716,$48.8133,$49.2933,$48.14
11/24/2021,$48.8467,18089342,$48.5767,$49.02,$48.5467
11/23/2021,$48.6033,29917347,$48.0833,$48.66,$47.75
11/22/2021,$48.26,29150367,$47.5533,$48.4533,$47.3333
11/19/2021,$47.4633,28142187,$47.8733,$48.00,$47.3133
11/18/2021,$47.72,24407474,$47.38,$47.7633,$46.9533
11/17/2021,$47.3133,33116223,$47.72,$48.24,$47.2733
11/16/2021,$47.7233,73986697,$48.3667,$48.8933,$47.4333
11/15/2021,$48.97,28895967,$49.3833,$49.4833,$48.80
11/12/2021,$49.2533,18313679,$49.6667,$49.7467,$49.18
11/11/2021,$49.50,13603150,$49.59,$49.6633,$49.3967
11/10/2021,$49.48,16803635,$49.5767,$49.8733,$49.3267
11/09/2021,$49.93,15001775,$49.84,$49.9567,$49.6217
11/08/2021,$49.7567,15373268,$50.0733,$50.17,$49.5767
11/05/2021,$50.0767,15081884,$50.6667,$50.6667,$49.8717
11/04/2021,$50.4267,15149219,$50.06,$50.616,$49.9433
11/03/2021,$50.06,14209594,$49.8667,$50.0967,$49.6767
11/02/2021,$49.9067,13639042,$49.99,$50.0583,$49.76
11/01/2021,$49.93,12549475,$49.9933,$50.25,$49.7833
10/29/2021,$49.8067,22022786,$49.3033,$50.033,$49.1869
10/28/2021,$49.4833,12598414,$49.4467,$49.66,$49.2367
10/27/2021,$49.1767,14565676,$49.6533,$49.6733,$49.13
10/26/2021,$49.5833,17418716,$50.00,$50.1833,$49.4867
10/25/2021,$50.02,19287989,$49.5933,$50.1733,$49.3367
10/22/2021,$49.4467,21195728,$49.0333,$49.8967,$49.0333
10/21/2021,$48.9367,13954390,$48.86,$48.9717,$48.6033
10/20/2021,$48.6667,17453600,$48.2967,$48.83,$48.2967
10/19/2021,$48.23,33444303,$48.21,$48.5367,$47.8867
10/18/2021,$47.2267,19886900,$46.6667,$47.335,$46.61
10/15/2021,$46.85,20737163,$46.8733,$47.0317,$46.6533
10/14/2021,$46.6233,19791614,$46.1667,$46.6917,$46.1667
10/13/2021,$46.1233,17944505,$46.50,$46.67,$46.0433
10/12/2021,$46.46,15789299,$46.4467,$46.8033,$46.3583
10/11/2021,$46.51,13048282,$46.5067,$46.9267,$46.48
10/08/2021,$46.5533,13847284,$46.5533,$46.6967,$46.3367
10/07/2021,$46.4133,21068129,$46.26,$46.90,$46.2533
10/06/2021,$45.8733,19376666,$45.4133,$45.93,$45.3767
10/05/2021,$45.54,20597417,$45.3167,$45.9033,$45.30
10/04/2021,$45.2433,29970255,$45.6967,$46.0767,$44.9017
10/01/2021,$45.6833,30014553,$46.42,$46.5433,$45.3067
09/30/2021,$46.46,22470707,$46.88,$47.2433,$46.4167
09/29/2021,$46.8133,21375491,$46.8833,$47.2767,$46.7733
09/28/2021,$46.8333,20580764,$47.2933,$47.3583,$46.6633
09/27/2021,$47.4167,21250664,$47.6233,$47.85,$47.28
09/24/2021,$47.7233,13360621,$47.50,$47.8967,$47.4967
09/23/2021,$47.59,15585422,$47.74,$47.8767,$47.4833
09/22/2021,$47.5633,15044531,$47.8233,$47.8667,$47.43
